,frame,id,x,y,lat,long,class,speed,lane,azimuth
1,2,1,1250,656,54.72542096557289,55.940727954043474,car,39.667007518093655,2,-163.85972796379895
10,3,1,1269,660,54.72542606785252,55.94073078212588,car,53.86250357310004,2,-160.84910891380775
19,4,1,1283,662,54.72542982767981,55.94073223743668,car,38.67409183324492,2,-171.76654106599833
28,5,1,1316,667,54.725438523955,55.94073578836708,car,89.69986485327782,2,-165.57392668044332
38,6,1,1316,667,54.725438523955,55.94073578836708,car,0.0,2,180.0
47,7,1,1333,670,54.72544289521959,55.940737846491615,car,45.4990979058276,2,-163.85973629307583
56,8,1,1346,672,54.72544621967535,55.940739222098216,car,34.31128332532858,2,-169.08003506362047
66,9,1,1360,672,54.72544991669841,55.94073937550189,car,36.98822013230777,2,180.0
75,10,1,1372,673,54.72545299364845,55.94074011488854,car,31.129189685453216,2,-169.08003690430695
84,11,1,1381,674,54.725455268211846,55.94074081742925,car,23.1671677033565,2,-163.8597416030103
93,12,1,1398,683,54.72545897987965,55.940746385216976,car,49.58527863247083,2,-144.1145914908384
